PWEIGHT,PATTCRLM,PEFATINC,PEXMG1A,PWARRIF,
400.6124,4750,151825,99996,0,
1845.4628,14500,67350,99996,0,
6602.0657,9500,128250,700,0,
450.2998,19000,19500,99996,0,
1394.2608,26000,97325,99996,0,
1598.8273,30000,31500,650,0,
246.2356,62500,204625,99996,0,
738.5048,19000,44225,625,0,
3879.8713,15000,94600,375,0,
2048.8282,9500,46775,99996,185000,
209.0998,999996,47500,99996,0,
1745.4372,38000,92200,375,0,
1039.5475,30000,101400,700,0,
446.9126,14500,41700,99996,11500,
1186.4455,5250,38225,99996,0,
383.7607,2100,37675,99996,55000,
67.3378,60000,114725,300,0,
483.1611,17000,50575,99996,0,
1196.8107,2000,55100,375,0,
472.8707,1550,81875,99996,350000,
389.3439,7500,25375,99996,0,
634.5898,95000,109175,99996,0,
671.9105,24000,145100,1600,0,
66.3648,30000,115150,99996,0,
1344.2294,60000,158650,99996,0,
352.3392,10000,65050,99996,0,
43.3282,19000,83250,99996,0,
818.6114,19000,67350,99996,34000,
764.385,29000,172925,1000,0,
2317.9109,20000,127350,99996,0,
1338.3994,11500,23000,99996,0,
90.0769,5250,46500,99996,95000,
819.1086,26000,80550,775,0,
902.407,20000,57475,99996,0,
802.0821,2500,7275,99996,0,
1917.536,999996,76400,99996,0,
937.5337,34000,57675,99996,0,
721.7939,7500,34500,99996,0,
379.4056,12000,46850,175,0,
519.6035,6000,110725,1850,0,
1699.6892,50000,-30100,1250,0,
173.7299,6250,-4500,200,0,
529.8139,35000,106400,99996,0,
1237.0702,4750,38800,99996,0,
650.735,95000,922475,99996,800000,
2213.0519,999996,34900,99996,0,
938.3834,15000,73550,99996,775,
933.1467,2400,59400,99996,0,
1642.4885,31000,73525,99996,0,
1069.86,4750,74425,99996,390000,
287.4154,19000,213200,99996,0,
513.2636,41000,197750,99996,0,
1443.0249,25000,87775,99996,0,
2847.5347,5000,30825,99996,0,
1283.743,5000,26425,99996,0,
5545.9309,10000,20000,99996,0,
381.2473,97500,97600,99996,0,
2181.4473,999996,51350,99996,0,
728.2579,2400,63125,99996,0,
670.399,4750,118800,99996,0,
1053.7028,2100,33000,99996,0,
1108.3025,10500,129200,99996,0,
1180.1379,10500,72200,99996,80000,
83.9769,950,43750,99996,0,
512.4411,100000,238700,99996,0,
1226.6755,3500,43725,99996,100000,
1173.7133,70000,131925,625,0,
400.0955,6250,30550,99996,0,
1428.1588,15000,116225,99996,0,
712.7949,40000,74225,99996,0,
660.6059,999996,19000,99996,0,
1136.0932,30000,136100,175,0,
315.6313,100000,1249250,99996,0,
1116.0341,13500,25700,99996,0,
351.8282,45000,109925,99996,0,
1557.9259,24000,75200,1350,0,
1745.0176,999996,35625,99996,0,
529.4598,28000,127800,99996,0,
482.7615,40000,32750,800,0,
853.4242,26000,82675,325,0,
8320.9139,950,23100,99996,0,
1253.477,999996,8525,99996,0,
309.9874,19000,56375,99996,0,
1723.8329,20000,30725,99996,0,
2379.5061,3500,42025,99996,0,
110.5628,999996,18000,99996,0,
3636.4978,40000,107350,1300,0,
1202.8725,21000,36725,600,0,
324.5071,6750,53875,99996,0,
745.2315,4750,60700,675,0,
2095.676,2100,95800,99996,0,
548.2015,999996,47600,99996,0,
712.698,16500,157150,1850,0,
910.1881,50000,119375,99996,0,
