PATTCRLM,PDWTYP,PEFATINC,PFSZ1824,PFSZ2544,PFSZ4564,PFSZ65UP,PPVRES,PWARRIF,PWNETWPG,
10500,1,41975,2,1,1,1,35,0,1932750,
10000,1,91950,2,2,1,2,46,0,345152,
17000,3,77825,2,1,2,2,24,0,156325,
29000,1,556125,9,9,9,9,35,0,2417500,
10000,1,43400,2,2,2,1,10,10500,242750,
3000,1,35825,2,2,2,1,24,19000,618000,
4500,9,72925,2,1,2,2,35,0,66600,
35000,1,101475,2,2,1,2,35,150000,4220500,
17000,1,120125,2,1,2,2,10,0,323601,
12000,3,84650,2,2,1,1,35,0,816500,
100000,1,91925,1,2,1,2,24,90000,1198901,
17500,1,150925,2,2,1,2,59,0,2161650,
19000,1,107875,2,2,2,1,48,0,2075500,
20000,1,133075,2,2,1,2,35,0,1292500,
17500,1,29375,2,2,2,1,11,0,950900,
8000,2,77675,2,1,2,2,48,0,6280,
14500,1,73375,2,1,1,2,10,0,168450,
40000,1,98175,2,1,2,1,59,0,1362750,
9500,1,195450,2,2,1,2,48,0,381500,
3000,1,14025,2,1,2,2,47,0,307000,
9500,1,39575,2,2,1,2,11,0,1044150,
90000,1,104900,2,2,1,1,24,0,2394500,
10000,1,88200,2,2,1,1,24,16000,628050,
39000,1,114900,2,2,1,2,24,0,613750,
11500,3,90650,2,1,2,2,59,0,62100,
12000,3,92900,2,1,1,2,35,0,601500,
18500,2,93500,2,1,2,2,59,0,211500,
18500,1,139400,2,1,2,2,35,0,1012050,
82500,1,276450,2,2,1,2,48,0,522000,
950,1,87750,1,1,2,2,47,0,95675,
2900,3,25800,2,2,1,2,24,0,33000,
14500,1,41225,2,2,2,1,24,16500,443000,
10000,1,106750,2,1,2,2,35,0,273150,
7250,3,72625,2,2,1,1,35,0,781750,
26000,1,88250,2,2,2,1,24,0,1245000,
19500,3,31700,2,1,2,2,48,0,21500,
29000,3,105050,2,2,1,2,24,0,855000,
37000,1,129500,1,1,1,2,24,0,615360,
29000,1,151950,1,1,2,2,24,0,2225001,
999996,1,28525,2,2,1,2,12,0,127900,
95000,1,72075,2,1,1,2,24,0,877550,
999996,9,45550,2,1,2,2,47,0,100552,
8500,3,28900,1,2,2,2,24,0,15400,
28000,1,75575,2,2,1,1,35,0,1444400,
25000,1,89050,1,2,1,2,10,0,997650,
31000,1,53550,2,2,2,1,48,200000,618900,
10000,1,79500,2,2,1,1,10,0,1010350,
6250,1,25750,2,2,2,1,24,15500,323250,
4750,1,150400,2,2,1,2,48,0,2934500,
30000,1,106475,2,2,1,1,46,0,1129250,
999996,1,9750,2,2,1,2,35,0,91025,
3000,1,184675,2,1,1,1,35,0,433250,
60000,2,104400,9,9,9,9,59,0,2800501,
15000,1,82950,2,2,1,2,35,0,1586750,
19000,1,67375,1,2,1,2,24,0,898850,
21000,1,86250,9,9,9,9,10,0,1229000,
10500,2,107500,2,2,1,2,24,0,1165500,
15000,2,30000,2,1,2,2,24,0,34776,
26000,1,322300,2,2,1,2,35,0,4087500,
24000,1,86300,2,2,1,2,35,0,1272550,
10500,1,28700,2,2,2,1,35,0,1229350,
2100,1,128725,9,9,9,9,59,0,8202800,
47500,1,75425,2,2,2,1,35,41000,913700,
11500,2,143000,2,1,2,2,48,0,262025,
39000,3,21650,2,2,2,1,35,15000,37550,
10500,1,80625,2,2,1,2,35,0,1032000,
30000,1,117425,2,2,1,2,35,280000,3418500,
18500,1,142375,2,2,1,2,48,0,1055250,
26000,1,91900,2,2,1,2,35,0,1592000,
7250,1,189675,2,2,1,2,35,0,1211000,
575,1,51925,2,1,2,2,35,0,154250,
17000,1,58800,1,2,1,1,35,0,2980750,
12000,1,206850,1,2,1,2,35,0,2263900,
3100,1,66600,2,1,2,2,46,0,233800,
3000,1,45300,2,2,2,1,47,0,598100,
48000,1,146525,9,9,9,9,10,0,558000,
82500,1,74075,2,2,1,2,13,0,677251,
37000,1,65150,2,2,1,2,46,0,779000,
13000,2,113150,2,1,2,2,59,0,782276,
5000,1,69200,9,9,9,9,24,0,114475,
10500,1,80925,2,2,2,1,12,0,752250,
17500,3,89275,2,2,1,1,24,5000,471700,
7000,1,41350,2,2,2,1,35,0,215050,
999996,1,7250,2,2,1,2,10,0,88530,
999996,1,28025,2,2,2,1,59,0,461025,
8250,2,86025,2,2,1,2,35,0,1303425,
10000,3,59800,2,1,2,2,24,0,35225,
6750,2,37275,2,2,2,1,24,2400,522500,
5000,3,23650,2,2,2,1,24,0,53175,
16500,3,25825,2,2,2,1,35,0,64450,
67500,1,131875,2,2,1,2,35,0,3545025,
34000,1,34900,2,2,1,1,48,0,278700,
999996,1,30750,2,2,2,1,35,0,245475,
4750,1,40525,2,2,1,2,10,0,343600,
5000,2,66850,2,2,2,1,35,0,629250,
47500,1,95150,2,2,1,2,24,0,2730900,
35000,1,124000,2,1,2,2,24,0,836700,
26000,1,59125,2,2,2,1,35,350000,770225,
10000,1,50225,2,2,2,1,12,0,681750,
4000,1,25200,2,2,2,1,59,0,19785,
13500,2,57175,2,1,2,2,35,0,222300,
6750,1,54350,2,2,1,1,59,0,979250,
39000,1,110000,2,2,1,1,46,250000,2491000,
7250,1,35275,2,2,1,2,24,0,86950,
10000,1,18000,2,2,1,2,24,0,137100,
17500,1,124175,2,1,1,2,11,0,986350,
43000,1,106400,9,9,9,9,12,0,134950,
450,3,48125,2,2,1,2,46,0,552925,
6750,1,91875,2,1,1,2,48,0,-13000,
5250,3,36200,2,1,2,2,24,0,2475,
24000,1,38000,2,2,2,1,35,3900,324400,
20000,1,133900,2,2,1,2,46,0,1993000,
3600,2,86200,2,2,1,2,24,0,391200,
3000,3,51300,2,1,1,2,48,0,10050,
41000,1,105900,2,1,2,2,35,0,4717750,
105000,4,53975,2,2,2,1,59,270000,604200,
30000,1,163375,2,2,1,2,10,0,1890503,
8750,1,39350,2,2,2,1,35,4400,580750,
999996,3,39950,2,2,1,2,35,0,4200,
28000,1,22225,2,1,2,2,59,0,73500,
31000,1,91675,2,2,2,1,59,0,1713050,
2000,1,102050,2,2,2,1,13,0,518900,
16500,1,32550,2,2,1,2,10,0,191300,
6250,1,60900,2,1,1,2,24,0,229250,
39000,1,80150,2,2,1,1,35,0,887500,
15000,2,76300,1,2,1,2,24,0,2035700,
2500,3,33000,2,2,2,1,24,52500,129175,
3900,1,94725,1,2,1,2,24,0,1030551,
2000,1,48800,2,1,2,1,47,0,654000,
25000,1,102900,2,1,2,2,59,0,1016450,
35000,2,65400,2,2,1,2,24,0,640500,
52500,1,151525,2,2,1,2,35,0,2393650,
999996,1,12000,2,2,1,2,24,0,-8745,
999996,2,22000,2,1,1,2,35,0,-4746,
15500,3,17075,2,2,1,2,35,0,155,
62500,1,255400,9,9,9,9,59,0,4204250,
50000,1,107925,1,2,1,2,59,0,791600,
999996,1,33125,2,1,1,2,59,0,-15725,
7000,1,34000,2,1,2,2,59,0,-1325,
135000,1,166275,2,2,1,2,46,0,2076500,
47500,1,107775,9,9,9,9,11,0,2987500,
40000,1,51325,2,2,1,2,24,0,599250,
100000,1,133075,2,2,1,2,35,0,2211000,
40000,1,159725,9,9,9,9,48,0,534600,
44000,1,58875,2,2,1,2,13,0,584250,
999996,1,42925,2,2,1,1,12,0,236000,
15000,2,59300,2,1,2,2,35,0,258700,
999996,1,18475,2,2,2,1,59,0,984000,
10000,1,24075,2,2,2,1,47,0,519950,
70000,3,71000,2,2,2,1,13,185000,857500,
28000,1,95500,2,2,1,2,10,0,547700,
57500,1,129700,2,2,2,1,48,575000,1347950,
2100,2,9100,2,2,1,2,24,0,10475,
5250,1,23300,2,2,2,1,10,0,252470,
